Individual_ID;Mass;Avarage_Ambient_Temperature;Average_Incubation_Temperature;Incubation_Period_Days;Number_Of_Eggs;Number_Of_Eggs_Hatched;Nest_Initiation_Day_Of_Year
H3;545;18,00;35,00;30;9;7;82
A1B;645;22,00;32,00;32;14;11;100
N4;605;14,00;32,00;32;17;14;57
N8;590;20,00;36,00;;4;4;86
O2;540;20,00;31,00;34;13;10;86
U10C;1;22,80;34,00;32;9;6;94
O3A;560;13,00;34,00;;5;4;55
O3B;1;25,00;34,00;30;13;11;117
T2B;1;25,00;36,00;30;7;6;119
T6A;1;13,90;34,00;30;7;3;
T9;1;19,00;32,00;;14;11;71
